"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"May 2013",306298,259249,353346,234343,378252
"Jun 2013",304747,257699,351796,232793,376702
"Jul 2013",308794,261745,355842,236839,380748
"Aug 2013",302091,255042,349139,230136,374045
"Sep 2013",314157,267108,361205,242202,386111
"Oct 2013",302194,255146,349243,230240,374149
"Nov 2013",311255,264207,358304,239301,383210
"Dec 2013",311302,264254,358351,239348,383257
"Jan 2014",317948,270899,364996,245993,389902
"Feb 2014",313329,266280,360377,241374,385283
"Mar 2014",314907,267859,361955,242953,386860
"Apr 2014",318189,271142,365237,246236,390143
